title	price	author	isbn	category	pub_year	size	page_num	remain
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	30,000 ₮		978-9919-50-935-4	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2021	148х210 мм	352	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	35,000 ₮		978-9919-509-60-6	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2021	145х205 мм	475	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	35,000 ₮		978-9919-509-30-9	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2021	145х205 мм	480	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	30,000 ₮		978-991995-062-0	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2019	130*200мм	260	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	20,000 ₮		978-99199-5-063-7	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2019	130*200мм	208	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	30,000 ₮		978-9919-50-935-4	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2021	148х210 мм	352	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	35,000 ₮		978-9919-509-60-6	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2021	145х205 мм	475	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	35,000 ₮		978-9919-509-30-9	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2021	145х205 мм	480	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	30,000 ₮		978-991995-062-0	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2019	130*200мм	260	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	20,000 ₮		978-99199-5-063-7	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2019	130*200мм	208	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	30,000 ₮		978-9919-50-935-4	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2021	148х210 мм	352	Үлдэгдэлтэй байна
"Эзэнтний намар  			 		 30,000 ₮   Сагсанд хийх"	35,000 ₮		978-9919-509-60-6	"Ангилал: 
									МӨНХИЙН БҮТЭЭЛҮҮД"	2021	145х205 мм	475	Үлдэгдэлтэй байна
